timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
19:04:55.666,1,1,12816.29,-18577.25,-10497.12,-11309.07,-12021.93,-14167.99,168522.56,161254.05
19:04:55.666,1,1,12906.43,-18566.74,-10519.22,-11369.53,-12064.11,-14254.13,168562.52,161325.86
19:04:55.667,1,1,12836.11,-18561.98,-10592.31,-11426.41,-12130.2,-14282.9,168593.91,161380.81
19:04:55.667,1,1,12702.85,-18577.14,-10619.4,-11405.25,-12132.53,-14218.57,168574.7,161343.72
19:04:55.668,1,1,12681.55,-18601.54,-10567.08,-11333.88,-12070.3,-14147.51,168531.98,161263.47
19:04:55.668,1,1,12810.97,-18608.7,-10498.59,-11308.06,-12019.74,-14164.52,168525.28,161250.08
19:04:55.669,1,1,12907.3,-18597.72,-10519.98,-11368.81,-12055.5,-14252.17,168564.61,161320.88
19:04:55.670,1,1,12832.56,-18591.76,-10603.8,-11431.91,-12129.55,-14292.96,168594.05,161373.75
19:04:55.670,1,1,12697.74,-18609.21,-10632.81,-11407.93,-12131.5,-14231.29,168576.83,161338.59
19:04:55.671,1,1,12679.32,-18633.31,-10579.33,-11333.09,-12065.45,-14161.13,168533.22,161257.14
19:04:55.671,1,1,12807.46,-18641.85,-10516.9,-11306.38,-12023.79,-14189.51,168526.33,161243.16
19:04:55.672,1,1,12900.89,-18632.08,-10540.79,-11364.9,-12068.09,-14280.89,168565.86,161313.61
19:04:55.672,1,1,12832.99,-18627.38,-10611.07,-11417.65,-12136.97,-14318.66,168596.2,161367.31
19:04:55.673,1,1,12701.29,-18641.67,-10645.33,-11402.83,-12147.66,-14270.38,168575.2,161328.25
19:04:55.673,1,1,12686.98,-18665.76,-10596.47,-11337.68,-12088.81,-14206.52,168530.45,161245.34
19:04:55.673,1,1,12818.93,-18676.11,-10528.65,-11312.87,-12042.27,-14222.48,168524.44,161231.44
19:04:55.673,1,1,12916.94,-18664.42,-10537.71,-11371.27,-12074.9,-14296.38,168561.72,161299.13
19:04:55.674,1,1,12853.33,-18658.21,-10601.41,-11425.92,-12138.05,-14321.46,168590.89,161351.27
19:04:55.674,1,1,12724.98,-18675.35,-10621.62,-11389.13,-12140.66,-14253.26,168572.84,161315.0
19:04:55.674,1,1,12713.58,-18697.48,-10555.03,-10945.74,-12066.86,-14173.31,168527.47,161231.0
19:04:55.675,1,1,12862.0,-18696.21,-10468.6,-10457.44,-12005.17,-14188.31,168516.41,161211.73
19:04:55.675,1,1,12968.01,-18678.48,-10482.05,-10496.38,-12043.81,-14273.11,168555.97,161281.63
19:04:55.675,1,1,12904.47,-18665.14,-10552.17,-10556.66,-12112.77,-14303.19,168586.95,161335.89
19:04:55.676,1,1,12773.13,-18672.18,-10577.52,-10538.49,-12117.53,-14235.47,168568.11,161299.13
19:04:55.676,1,1,12753.44,-18687.09,-10523.89,-10471.55,-12048.84,-14159.05,168523.25,161215.89
19:04:55.676,1,1,12879.32,-18683.96,-10457.62,-10449.75,-11999.96,-14177.69,168512.02,161196.28
19:04:55.676,1,1,12972.77,-18663.28,-10480.69,-10516.58,-12044.06,-14267.97,168548.22,161262.72
19:04:55.677,1,1,12908.31,-18649.67,-10553.0,-10576.71,-12111.67,-14304.36,168578.91,161316.8
19:04:55.677,1,1,12776.93,-18658.72,-10578.63,-10553.62,-12111.76,-14241.79,168562.3,161282.42
19:04:55.677,1,1,12751.42,-18673.14,-10534.47,-10491.44,-12056.28,-14181.8,168516.41,161198.08
19:04:55.678,1,1,12864.75,-18671.73,-10481.43,-10483.62,-12018.47,-14218.59,168506.02,161179.16
19:04:55.678,1,1,12956.61,-18654.77,-10504.83,-10550.43,-12059.35,-14310.53,168545.56,161249.02
19:04:55.678,1,1,12891.5,-18641.58,-10578.48,-10607.06,-12127.85,-14347.76,168576.92,161304.02
19:04:55.678,1,1,12757.64,-18648.13,-10604.52,-10583.93,-12134.92,-14287.21,168558.2,161267.72
19:04:55.679,1,1,12730.28,-18664.42,-10551.16,-10512.29,-12073.52,-14218.19,168514.47,161185.55
19:04:55.679,1,1,12852.14,-18662.39,-10488.31,-10491.93,-12028.57,-14241.39,168503.16,161165.66
19:04:55.679,1,1,12945.64,-18644.21,-10505.66,-10553.2,-12070.57,-14330.06,168541.73,161234.44
19:04:55.680,1,1,12878.74,-18628.86,-10575.53,-10613.19,-12139.61,-14364.06,168571.73,161288.58
19:04:55.680,1,1,12746.19,-18636.46,-10595.2,-10588.67,-12140.44,-14294.52,168555.03,161254.86
19:04:55.680,1,1,12728.04,-18652.11,-10534.13,-10512.0,-12071.53,-14212.51,168511.38,161173.02
19:04:55.681,1,1,12852.36,-18649.38,-10462.54,-10486.81,-12020.97,-14226.37,168499.95,161152.67
19:04:55.681,1,1,12951.96,-18633.06,-10471.81,-10544.14,-12054.97,-14304.04,168540.48,161223.33
19:04:55.681,1,1,12893.83,-18618.91,-10539.18,-10598.17,-12119.03,-14332.43,168571.63,161278.45
19:04:55.681,1,1,12765.59,-18624.9,-10568.96,-10576.02,-12123.59,-14271.19,168553.05,161242.75
19:04:55.682,1,1,12734.97,-18640.33,-10522.17,-10509.3,-12064.26,-14200.42,168508.08,161159.2
19:04:55.682,1,1,12857.17,-18639.72,-10450.78,-10483.66,-12011.2,-14210.95,168497.41,161139.11
19:04:55.682,1,1,12956.88,-18622.0,-10462.87,-10540.25,-12045.15,-14289.34,168535.03,161206.19
19:04:55.683,1,1,12898.27,-18607.33,-10531.45,-10595.0,-12107.85,-14316.54,168564.05,161258.44
19:04:55.683,1,1,12769.57,-18612.45,-10557.98,-10571.93,-12111.16,-14252.17,168542.41,161218.61
19:04:55.683,1,1,12744.92,-18628.32,-10507.51,-10502.12,-12046.92,-14180.24,168495.13,161131.06
19:04:55.684,1,1,12866.33,-18629.33,-10448.03,-10483.84,-12004.07,-14207.89,168482.27,161106.97
19:04:55.684,1,1,12959.29,-18611.56,-10469.6,-10549.0,-12046.85,-14300.36,168517.02,161169.94
19:04:55.684,1,1,12892.31,-18598.06,-10548.24,-10617.32,-12121.48,-14343.72,168546.31,161222.14
19:04:55.684,1,1,12756.18,-18605.19,-10587.17,-10604.11,-12140.57,-14295.39,168527.44,161185.59
19:04:55.685,1,1,12726.84,-18620.95,-10540.52,-10533.01,-12086.73,-14228.27,168481.77,161100.73
19:04:55.685,1,1,12849.44,-18621.33,-10471.84,-10508.36,-12037.26,-14241.91,168470.55,161079.45
19:04:55.685,1,1,12945.55,-18601.7,-10490.32,-10575.91,-12075.73,-14330.19,168506.28,161144.66
19:04:55.686,1,1,12875.7,-18588.36,-10567.59,-10642.04,-12149.4,-14366.63,168538.58,161201.09
19:04:55.686,1,1,12739.71,-18594.17,-10594.48,-10621.35,-12153.85,-14299.44,168520.44,161166.11
19:04:55.686,1,1,12715.93,-18608.7,-10536.92,-10544.9,-12083.15,-14215.58,168474.38,161080.97
19:04:55.686,1,1,12836.54,-18608.23,-10467.14,-10519.67,-12035.39,-14227.69,168462.34,161058.42
19:04:55.687,1,1,12937.17,-18588.78,-10471.21,-10567.95,-12063.39,-14303.08,168497.72,161122.95
19:04:55.687,1,1,12881.49,-18574.39,-10536.3,-10618.31,-12122.56,-14335.27,168528.3,161177.22
19:04:55.688,1,1,12751.92,-18580.47,-10570.41,-10596.69,-12131.72,-14277.91,168509.39,161141.08
