class,timestamp,Difficulty,Performance,channel0,channel1,channel2,channel3,channel4,channel5,channel6,channel7
0,19:03:35.557,1,1,11326.17,-17593.26,-9217.57,-11364.12,-9847.28,-15074.15,141012.09,147303.36
0,19:03:35.557,1,1,11183.49,-17610.09,-9242.92,-11302.07,-9818.47,-15005.66,140977.83,147238.33
0,19:03:35.557,1,1,11209.67,-17625.22,-9182.21,-11250.59,-9748.6,-14945.81,140943.61,147173.94
0,19:03:35.557,1,1,11369.53,-17618.11,-9112.63,-11284.34,-9726.7,-14972.76,140960.25,147202.95
0,19:03:35.557,1,1,11421.27,-17600.59,-9139.99,-11365.46,-9790.82,-15050.3,141005.34,147283.86
0,19:03:35.557,1,1,11293.58,-17598.29,-9226.87,-11387.86,-9856.56,-15077.19,141019.88,147307.8
0,19:03:35.558,1,1,11165.88,-17617.91,-9258.34,-11324.94,-9836.02,-15020.8,140988.83,147246.31
0,19:03:35.558,1,1,11212.08,-17631.7,-9188.38,-11262.98,-9756.56,-14958.88,140953.5,147180.52
0,19:03:35.558,1,1,11383.81,-17622.36,-9114.17,-11290.87,-9735.19,-14989.33,140967.94,147206.86
0,19:03:35.558,1,1,11439.64,-17604.55,-9141.42,-11364.92,-9802.4,-15069.57,141013.38,147288.17
0,19:03:35.558,1,1,11322.25,-17601.86,-9220.07,-11375.47,-9861.12,-15092.1,141028.58,147313.28
0,19:03:35.558,1,1,11193.75,-17620.55,-9251.1,-11307.59,-9843.8,-15038.83,140997.34,147251.64
0,19:03:35.558,1,1,11232.11,-17634.43,-9190.57,-11252.23,-9778.87,-14988.95,140961.34,147184.91
0,19:03:35.559,1,1,11397.71,-17627.46,-9123.96,-11285.51,-9763.84,-15018.99,140977.14,147212.39
0,19:03:35.559,1,1,11455.4,-17610.34,-9152.93,-11361.75,-9826.59,-15092.88,141023.44,147294.38
0,19:03:35.559,1,1,11335.08,-17607.5,-9230.53,-11376.34,-9880.25,-15109.26,141039.22,147320.16
0,19:03:35.559,1,1,11204.77,-17622.52,-9248.75,-11306.76,-9848.25,-15039.91,141004.72,147255.36
0,19:03:35.559,1,1,11243.13,-17638.95,-9175.86,-11243.24,-9772.76,-14972.74,140971.28,147191.11
0,19:03:35.559,1,1,11407.79,-17631.03,-9097.9,-11271.18,-9744.18,-14990.4,140985.97,147216.92
0,19:03:35.559,1,1,11468.68,-17610.47,-9119.6,-11345.3,-9798.27,-15058.01,141028.91,147295.75
0,19:03:35.560,1,1,11349.08,-17609.2,-9191.95,-11358.8,-9850.44,-15072.52,141046.95,147324.33
0,19:03:35.560,1,1,11216.73,-17626.43,-9209.34,-11294.54,-9827.35,-15010.07,141015.05,147262.77
0,19:03:35.560,1,1,11252.23,-17639.17,-9128.36,-11235.15,-9749.9,-14941.0,140977.55,147194.45
0,19:03:35.560,1,1,11414.43,-17632.15,-9042.0,-11262.95,-9720.04,-14962.39,140992.36,147220.2
0,19:03:35.560,1,1,11464.41,-17613.02,-9059.43,-11342.42,-9779.27,-15041.43,141036.63,147300.52
0,19:03:35.560,1,1,11335.28,-17611.47,-9134.89,-11367.14,-9838.7,-15066.95,141054.77,147329.8
0,19:03:35.560,1,1,11198.4,-17626.07,-9157.02,-11304.48,-9816.82,-15005.64,141020.59,147266.23
0,19:03:35.561,1,1,11227.57,-17641.9,-9093.61,-11245.07,-9743.15,-14945.9,140985.59,147200.16
0,19:03:35.561,1,1,11386.38,-17634.72,-9027.65,-11276.5,-9725.06,-14978.93,140999.14,147224.19
0,19:03:35.561,1,1,11445.59,-17617.98,-9058.98,-11357.08,-9789.37,-15059.17,141045.61,147306.58
0,19:03:35.561,1,1,11325.85,-17616.1,-9147.99,-11378.18,-9853.3,-15087.0,141064.11,147336.56
0,19:03:35.561,1,1,11185.35,-17632.49,-9182.95,-11316.53,-9836.69,-15031.59,141032.0,147275.14
0,19:03:35.561,1,1,11217.25,-17646.99,-9118.73,-11252.85,-9760.96,-14970.88,140995.42,147206.97
0,19:03:35.562,1,1,11383.09,-17640.06,-9048.3,-11276.46,-9738.48,-14998.71,141009.02,147230.58
0,19:03:35.562,1,1,11448.63,-17620.97,-9071.43,-11350.3,-9799.03,-15076.9,141053.39,147311.02
0,19:03:35.562,1,1,11336.45,-17618.49,-9153.49,-11367.9,-9860.2,-15103.23,141072.11,147341.44
0,19:03:35.563,1,1,11199.21,-17634.81,-9184.02,-11306.47,-9837.76,-15044.24,141040.39,147280.63
0,19:03:35.563,1,1,11225.65,-17648.24,-9120.41,-11241.41,-9760.2,-14978.71,141002.31,147210.95
0,19:03:35.563,1,1,11388.93,-17641.09,-9044.52,-11263.6,-9728.13,-14994.82,141014.89,147233.14
0,19:03:35.564,1,1,11458.51,-17623.08,-9064.75,-11339.13,-9784.12,-15061.97,141060.31,147314.47
0,19:03:35.564,1,1,11345.57,-17619.66,-9144.61,-11358.2,-9841.18,-15079.04,141078.69,147344.7
0,19:03:35.564,1,1,11214.65,-17636.46,-9170.34,-11287.54,-9808.95,-15007.72,141048.2,147285.42
0,19:03:35.564,1,1,11246.55,-17652.49,-9106.21,-11220.33,-9728.51,-14937.78,141012.53,147218.0
0,19:03:35.564,1,1,11405.33,-17646.84,-9038.08,-11247.33,-9703.7,-14963.17,141025.78,147240.61
0,19:03:35.564,1,1,11470.31,-17629.07,-9064.73,-11330.93,-9765.01,-15042.86,141071.27,147322.02
0,19:03:35.565,1,1,11355.13,-17624.93,-9152.84,-11358.58,-9825.07,-15067.78,141089.5,147352.75
0,19:03:35.565,1,1,11217.87,-17639.48,-9185.23,-11295.23,-9800.52,-15003.03,141057.11,147291.83
0,19:03:35.565,1,1,11241.68,-17656.02,-9126.95,-11237.74,-9727.01,-14940.87,141021.23,147223.78
0,19:03:35.565,1,1,11394.38,-17650.5,-9059.72,-11271.58,-9704.84,-14970.13,141033.94,147245.28
0,19:03:35.566,1,1,11455.54,-17632.06,-9088.26,-11352.18,-9764.09,-15050.61,141078.8,147326.05
0,19:03:35.566,1,1,11344.07,-17627.23,-9173.36,-11375.74,-9825.78,-15077.59,141097.08,147357.14
0,19:03:35.566,1,1,11206.78,-17643.73,-9209.59,-11313.89,-9812.33,-15026.09,141066.73,147298.5
0,19:03:35.566,1,1,11229.56,-17659.08,-9151.7,-11247.02,-9741.38,-14967.15,141029.2,147228.61
0,19:03:35.566,1,1,11389.24,-17654.44,-9082.88,-11270.78,-9715.5,-14991.47,141042.09,147250.0
0,19:03:35.566,1,1,11463.07,-17637.4,-9104.25,-11346.26,-9774.91,-15069.3,141088.44,147332.38
0,19:03:35.566,1,1,11353.77,-17631.48,-9187.44,-11369.1,-9836.91,-15094.96,141106.25,147363.3
0,19:03:35.567,1,1,11207.99,-17646.43,-9224.21,-11312.35,-9825.98,-15041.94,141074.91,147303.91
0,19:03:35.567,1,1,11223.55,-17662.86,-9164.26,-11250.12,-9753.94,-14976.99,141038.11,147234.73
0,19:03:35.567,1,1,11384.44,-17657.07,-9088.84,-11274.76,-9721.6,-14992.63,141049.3,147254.09
